full_name,email,clerkship,avail,location,numstu
Brien Braycotton,bbraycotton1h@mit.edu,Neurology,100000101000100000101000,Arlington,1
Hadley Camlin,hcamlin1i@army.mil,Neurology,000010010101000010010101,Keller/Southlake/Alliance,1
Dorian Dougan,ddougan1j@berkeley.edu,Neurology,010110000110010110000110,Dallas,2
Archambault Gregorace,agregorace1k@soundcloud.com,Neurology,000101000000000101000000,Dallas,1
Ilario Haythorne,ihaythorne1l@tiny.cc,Neurology,110011100000110011100000,Arlington,2
Hyacinthie Draye,hdraye1m@domainmarket.com,Neurology,000000101000000000101000,Mansfield,2
Lukas Reddy,lreddy1n@zdnet.com,Neurology,100010000000100010000000,Mansfield,2
Ryley Hebden,rhebden1o@usgs.gov,Family Medicine,100000100000100000100000,Mansfield,1
Grace Wooster,gwooster1p@constantcontact.com,Family Medicine,010010100000010010100000,Dallas,1
Lewie Henrych,lhenrych1q@omniture.com,Family Medicine,100100000110100100000110,Fort Worth,2
Raine McGrale,rmcgrale1r@dropbox.com,Family Medicine,000100100000000100100000,Arlington,1
Terrence Stanworth,tstanworth1s@google.it,Family Medicine,101000000000101000000000,Fort Worth,1
Rob MacInerney,rmacinerney1t@w3.org,Family Medicine,101000100001101000100001,Denton,2
Lynnette Phelan,lphelan1u@newsvine.com,Family Medicine,100001011001100001011001,Dallas,2
Anitra Greeve,agreeve1v@vinaora.com,Family Medicine,100110001000100110001000,Mansfield,1
Felicity Barby,fbarby1w@blog.com,Family Medicine,010101000000010101000000,Fort Worth,1
Itch Fenelon,ifenelon1x@example.com,Family Medicine,000000000010000000000010,Denton,2
Wilone Gorch,wgorch1y@bloglines.com,Family Medicine,000100000100000100000100,Fort Worth,1
Alberto MacNeillie,amacneillie1z@imageshack.us,Family Medicine,000100110100000100110100,Arlington,2
Tilda Broster,tbroster20@phoca.cz,Family Medicine,010000001001010000001001,Fort Worth,1
Ashton Duinbleton,aduinbleton21@salon.com,Family Medicine,000001001000000001001000,Denton,1
Bing Farreil,bfarreil22@vinaora.com,Family Medicine,000000011000000000011000,Denton,2
Lind Broxup,lbroxup23@soundcloud.com,Family Medicine,010101000000010101000000,Mansfield,1
Elli Bowart,ebowart24@ebay.com,Family Medicine,100110000001100110000001,Arlington,1
Shani Atcherley,satcherley25@cnet.com,Family Medicine,000000100000000000100000,Dallas,1
Kakalina Shewen,kshewen26@rambler.ru,Family Medicine,100111000001100111000001,Arlington,1
Leland Digance,ldigance27@qq.com,Family Medicine,000000010110000000010110,Denton,2
Karon Giron,kgiron28@ifeng.com,Family Medicine,010101000000010101000000,Fort Worth,1
Amelina Torre,atorre29@liveinternet.ru,Family Medicine,000100100000000100100000,Fort Worth,1
Gualterio Blowen,gblowen2a@hud.gov,Family Medicine,000001010000000001010000,Dallas,2
Berget Siggee,bsiggee2b@mayoclinic.com,Family Medicine,001000010000001000010000,Fort Worth,1
Hazel Bagge,hbagge2c@sphinn.com,Family Medicine,000110000001000110000001,Fort Worth,1
Renault Liddel,rliddel2d@yellowbook.com,Family Medicine,011100100000011100100000,Fort Worth,2
Cordell McDiarmid,cmcdiarmid2e@bloglines.com,Family Medicine,000000111010000000111010,Keller/Southlake/Alliance,2
Nicolina Skellington,nskellington2f@msn.com,Family Medicine,100101001001100101001001,Arlington,1
Chiarra Saura,csaura2g@naver.com,Family Medicine,000110011001000110011001,Mansfield,1
Rori Binny,rbinny2h@opensource.org,Family Medicine,000100000100000100000100,Keller/Southlake/Alliance,2
Reade Farnfield,rfarnfield2i@arizona.edu,Family Medicine,011000100000011000100000,Dallas,2
Byron Gammill,bgammill2j@usgs.gov,Family Medicine,100000010000100000010000,Mansfield,1
Angelica Empson,aempson2k@amazon.co.uk,Family Medicine,001000100101001000100101,Arlington,1
Rea Pohling,rpohling2l@reverbnation.com,Family Medicine,000001011000000001011000,Keller/Southlake/Alliance,1
Mareah Spering,mspering2m@ucoz.com,Family Medicine,010010101010010010101010,Dallas,1
Janeen McKelloch,jmckelloch2n@vistaprint.com,Family Medicine,100100011000100100011000,Arlington,1
Gorden Ivatt,givatt2o@independent.co.uk,Family Medicine,001000101101001000101101,Arlington,2
Bobbi Harron,bharron2p@yahoo.com,Family Medicine,011000000000011000000000,Fort Worth,1
Issi McNeigh,imcneigh2q@ycombinator.com,Family Medicine,010101000000010101000000,Keller/Southlake/Alliance,2
Ingar Hassewell,ihassewell2r@amazon.co.uk,Family Medicine,000000001010000000001010,Denton,2
Genna Muffin,gmuffin2s@oracle.com,Family Medicine,111010100010111010100010,Fort Worth,1
Pren Comley,pcomley2t@macromedia.com,Family Medicine,010000000000010000000000,Fort Worth,1
Archaimbaud Yankeev,ayankeev2u@mayoclinic.com,Family Medicine,011000010100011000010100,Arlington,2
Randi Roskeilly,rroskeilly2v@who.int,Family Medicine,100000000000100000000000,Arlington,1
Thelma Slowcock,tslowcock2w@weather.com,Family Medicine,100001000000100001000000,Denton,2
Tedra Lord,tlord2x@newsvine.com,Family Medicine,010000100001010000100001,Keller/Southlake/Alliance,2
Christoper Spurett,cspurett2y@instagram.com,Family Medicine,010000010000010000010000,Mansfield,1
Wyn Glasscoe,wglasscoe2z@over-blog.com,Family Medicine,000000000100000000000100,Dallas,2
Brandon Elder,belder30@amazonaws.com,Family Medicine,000011111100000011111100,Fort Worth,1
Pate Stanbro,pstanbro31@bloglovin.com,Family Medicine,000000000001000000000001,Denton,2
Patricia Gann,pgann32@independent.co.uk,Family Medicine,000100000000000100000000,Fort Worth,1
Davis Ricioppo,dricioppo33@uol.com.br,Family Medicine,001000010100001000010100,Mansfield,2
Ella Rainsbury,erainsbury34@abc.net.au,Family Medicine,100001000000100001000000,Fort Worth,2
Quinta Ingamells,qingamells35@wufoo.com,Family Medicine,101010101000101010101000,Dallas,1
Ella Clucas,eclucas36@apache.org,Family Medicine,000000011000000000011000,Fort Worth,2
Payton Macieja,pmacieja37@ning.com,Family Medicine,000000011101000000011101,Fort Worth,2
Robbie Breton,rbreton38@biblegateway.com,Family Medicine,000001000001000001000001,Dallas,2
Rodina Greser,rgreser39@google.cn,Family Medicine,011000011010011000011010,Dallas,1
Kelwin Colqueran,kcolqueran3a@rediff.com,Family Medicine,000000011010000000011010,Denton,2
Zacherie Jobbins,zjobbins3b@ezinearticles.com,Family Medicine,000110110100000110110100,Mansfield,1
Jared Taunton.,jtaunton3c@nih.gov,Internal Medicine,110100000011110100000011,Dallas,1
Cathie Gurnell,cgurnell3d@storify.com,Internal Medicine,010101000000010101000000,Denton,1
Zorah Cuberley,zcuberley3e@bloomberg.com,Internal Medicine,100010000010100010000010,Mansfield,2
Dalila Benezeit,dbenezeit3f@mapy.cz,Internal Medicine,001001000000001001000000,Fort Worth,2
Orrin Moffatt,omoffatt3g@xing.com,Internal Medicine,000000010000000000010000,Mansfield,1
Gay Fuxman,gfuxman3h@ow.ly,Internal Medicine,000010101000000010101000,Arlington,1
Jens Escala,jescala3i@redcross.org,Internal Medicine,010000001000010000001000,Denton,2
Jakie Tomasi,jtomasi3j@alexa.com,Internal Medicine,100100010000100100010000,Dallas,2
Dorella Albrecht,dalbrecht3k@discuz.net,Internal Medicine,110001000000110001000000,Fort Worth,2
Constantine Arro,carro3l@pinterest.com,Internal Medicine,010101110010010101110010,Fort Worth,2
Barbe Kimmince,bkimmince3m@timesonline.co.uk,Internal Medicine,001100000001001100000001,Arlington,2
Conrade Stoffersen,cstoffersen3n@google.pl,Internal Medicine,000000100111000000100111,Fort Worth,2
Lory Monsey,lmonsey3o@ameblo.jp,Internal Medicine,101100001000101100001000,Fort Worth,2
Eileen Thebes,ethebes3p@yahoo.com,Internal Medicine,001000101110001000101110,Dallas,1
Jourdain Brunel,jbrunel3q@telegraph.co.uk,Internal Medicine,000010000101000010000101,Arlington,1
Lacey Toke,ltoke3r@telegraph.co.uk,Internal Medicine,000000000001000000000001,Arlington,1
Babs Collingridge,bcollingridge3s@booking.com,Internal Medicine,001010000000001010000000,Keller/Southlake/Alliance,2
Ingelbert Temperton,itemperton3t@google.com,Internal Medicine,000000000101000000000101,Mansfield,2
Rudy Dunabie,rdunabie3u@discovery.com,Internal Medicine,010100100000010100100000,Mansfield,1
Jacques Bannister,jbannister3v@gov.uk,Internal Medicine,100000010000100000010000,Denton,2
Hilly Mucklo,hmucklo3w@imgur.com,Internal Medicine,100000001000100000001000,Dallas,2
Blanche Guilaem,bguilaem3x@parallels.com,Internal Medicine,001001110100001001110100,Denton,1
Jo ann Sackey,jann3y@usa.gov,Internal Medicine,000100001011000100001011,Arlington,2
Averell Cassy,acassy3z@usa.gov,Internal Medicine,101001010000101001010000,Fort Worth,2
Bruis Scoggan,bscoggan40@mysql.com,Internal Medicine,000110010000000110010000,Denton,2
Cristal Cronk,ccronk41@ezinearticles.com,Internal Medicine,010011001110010011001110,Keller/Southlake/Alliance,2
Elise MacNucator,emacnucator42@jigsy.com,Internal Medicine,010000110101010000110101,Denton,2
Sergeant Hissett,shissett43@newyorker.com,Internal Medicine,000000000011000000000011,Mansfield,1
Garrett Blindt,gblindt44@paginegialle.it,Internal Medicine,000101010000000101010000,Mansfield,2
Loraine Casotti,lcasotti45@instagram.com,Internal Medicine,001001001100001001001100,Mansfield,2
Brien Dury,bdury46@cpanel.net,Internal Medicine,000010100000000010100000,Fort Worth,1
Doy Antonignetti,dantonignetti47@reverbnation.com,Internal Medicine,011100011000011100011000,Fort Worth,2
Brody Ivanyutin,bivanyutin48@tuttocitta.it,Internal Medicine,000100101000000100101000,Dallas,2
Rita Studholme,rstudholme49@yahoo.co.jp,Internal Medicine,101011000000101011000000,Mansfield,2
Jerrie Oatley,joatley4a@yellowbook.com,Internal Medicine,010101000000010101000000,Dallas,2
Molly Skerritt,mskerritt4b@vimeo.com,Internal Medicine,100000100000100000100000,Denton,2
Karyn Butcher,kbutcher4c@yahoo.com,Internal Medicine,001111001000001111001000,Arlington,2
Ron Scripture,rscripture4d@reddit.com,Internal Medicine,000110000000000110000000,Mansfield,1
Ally Gokes,agokes4e@w3.org,Internal Medicine,000000110000000000110000,Mansfield,1
Evaleen Banghe,ebanghe4f@wsj.com,Internal Medicine,000100000101000100000101,Denton,2
Dorise Willeman,dwilleman4g@wordpress.org,Internal Medicine,000011011001000011011001,Dallas,1
Hedda Titta,htitta4h@vimeo.com,Internal Medicine,010000010000010000010000,Mansfield,1
Amy Seeger,aseeger4i@mozilla.org,Internal Medicine,001101000000001101000000,Keller/Southlake/Alliance,1
Teodoor Potebury,tpotebury4j@reddit.com,Internal Medicine,010100000000010100000000,Dallas,1
Lilah Whittuck,lwhittuck4k@hc360.com,Internal Medicine,100110101000100110101000,Dallas,2
Beatrisa Losbie,blosbie4l@last.fm,Internal Medicine,001000100011001000100011,Denton,2
Emmit Cregin,ecregin4m@meetup.com,Internal Medicine,011111100000011111100000,Fort Worth,2
Tibold Littrik,tlittrik4n@ca.gov,Internal Medicine,001011000000001011000000,Denton,2
Jake Sydes,jsydes4o@yellowbook.com,Internal Medicine,111011000100111011000100,Arlington,2
Magdalen Winkell,mwinkell4p@amazon.com,Internal Medicine,110011100110110011100110,Denton,2
Chrisy Cremin,ccremin4q@nsw.gov.au,Internal Medicine,010001111011010001111011,Dallas,2
Lemar Inkpin,linkpin4r@barnesandnoble.com,Internal Medicine,011000000100011000000100,Keller/Southlake/Alliance,2
Lothario Wellwood,lwellwood4s@mysql.com,Internal Medicine,011010110100011010110100,Mansfield,1
Erik Dundon,edundon4t@tmall.com,Internal Medicine,000011100100000011100100,Arlington,1
Ira Penketh,ipenketh4u@histats.com,Internal Medicine,111010000000111010000000,Arlington,1
Martie Stobbie,mstobbie4v@umn.edu,Internal Medicine,010001110000010001110000,Keller/Southlake/Alliance,2
Law Lampel,llampel4w@diigo.com,Internal Medicine,010101000000010101000000,Fort Worth,2
Carree Scudders,cscudders4x@vkontakte.ru,Internal Medicine,010101000000010101000000,Fort Worth,1
Edi Weeden,eweeden4y@tuttocitta.it,Internal Medicine,010001100010010001100010,Dallas,2
Wrennie Delieu,wdelieu4z@ocn.ne.jp,Internal Medicine,011000100000011000100000,Keller/Southlake/Alliance,1
Linnet Seals,lseals50@auda.org.au,Surgery,100000000001100000000001,Denton,2
Kahlil McQuorkell,kmcquorkell51@fema.gov,Surgery,010001010001010001010001,Denton,2
Elvin Lipsett,elipsett52@domainmarket.com,Surgery,010010000000010010000000,Dallas,1
Angelique Canny,acanny53@so-net.ne.jp,Surgery,000001001000000001001000,Fort Worth,1
Paxon Wile,pwile54@etsy.com,Surgery,001001011010001001011010,Mansfield,2
Glennis Gilardi,ggilardi55@blog.com,Surgery,100100000110100100000110,Fort Worth,1
Karalynn Forker,kforker56@discuz.net,Surgery,011100100010011100100010,Fort Worth,1
Ebenezer Browell,ebrowell57@hud.gov,Surgery,010100000100010100000100,Denton,1
Kip Haydn,khaydn58@storify.com,Surgery,000110000000000110000000,Mansfield,1
Allistir Larraway,alarraway59@jalbum.net,Surgery,010000000000010000000000,Dallas,2
Natividad Reignolds,nreignolds5a@nature.com,Surgery,100000000100100000000100,Fort Worth,2
Zahara Bouzek,zbouzek5b@kickstarter.com,Surgery,010000100000010000100000,Arlington,2
Friedrich Gremain,fgremain5c@canalblog.com,Surgery,101010000001101010000001,Mansfield,1
Ricki Summerfield,rsummerfield5d@nba.com,Surgery,100011000000100011000000,Arlington,1
Katya Capstack,kcapstack5e@weather.com,Surgery,000101010000000101010000,Dallas,2
Blisse MacDonell,bmacdonell5f@storify.com,Surgery,100000100000100000100000,Mansfield,2
Theodore Ledley,tledley5g@umich.edu,Surgery,001010010000001010010000,Mansfield,2
Cathee Brogioni,cbrogioni5h@storify.com,Surgery,100101011110100101011110,Keller/Southlake/Alliance,1
Wendall Fyrth,wfyrth5i@gmpg.org,Surgery,000000101001000000101001,Denton,1
Lotty Lovewell,llovewell5j@fc2.com,Surgery,000000000100000000000100,Fort Worth,1
Karry Towsie,ktowsie5k@comsenz.com,Surgery,000000001000000000001000,Arlington,2
Jayme McGiveen,jmcgiveen5l@php.net,Surgery,100001000110100001000110,Dallas,1
Zeb Kimmons,zkimmons5m@addtoany.com,Surgery,110000001110110000001110,Dallas,1
Danyette Traise,dtraise5n@usatoday.com,Surgery,100000010000100000010000,Fort Worth,2
Claretta Moukes,cmoukes5o@parallels.com,Surgery,001100001010001100001010,Fort Worth,1
Byrann Grimoldby,bgrimoldby5p@archive.org,Surgery,100000000000100000000000,Denton,2
Frazier Craft,fcraft5q@nationalgeographic.com,Surgery,000001000000000001000000,Dallas,2
Laurice Ferroli,lferroli5r@nps.gov,Surgery,100000110001100000110001,Denton,2
Nollie Flatman,nflatman5s@google.pl,Surgery,010001000110010001000110,Dallas,1
Elyn Rands,erands5t@dmoz.org,Surgery,001000000010001000000010,Dallas,1
Teressa Grzegorecki,tgrzegorecki5u@ameblo.jp,Surgery,010101000000010101000000,Arlington,2
Priscilla Eickhoff,peickhoff5v@paginegialle.it,Surgery,001000010000001000010000,Arlington,1
Tabby Burchard,tburchard5w@cdc.gov,Surgery,000000000111000000000111,Denton,1
Dyna Bardwall,dbardwall5x@smh.com.au,Surgery,000000000110000000000110,Denton,2
Jacynth Tante,jtante5y@pcworld.com,Surgery,110000001000110000001000,Denton,2
Finlay Giffard,fgiffard5z@soup.io,Surgery,000010101000000010101000,Mansfield,2
Naomi Clapperton,nclapperton60@topsy.com,Surgery,000000010011000000010011,Keller/Southlake/Alliance,1
Trenna McCoole,tmccoole61@yolasite.com,Surgery,010101011000010101011000,Mansfield,1
Maia McClary,mmcclary62@walmart.com,Surgery,000100100101000100100101,Arlington,2
Sibyl Mulvagh,smulvagh63@dagondesign.com,Surgery,101101000010101101000010,Arlington,2
Burk Durrance,bdurrance64@smh.com.au,Surgery,100000000101100000000101,Arlington,2
Simon Shirtcliffe,sshirtcliffe65@google.ca,Surgery,000010000000000010000000,Dallas,1
Ralf Baddow,rbaddow66@princeton.edu,Surgery,000000100000000000100000,Denton,2
Casey Kleynermans,ckleynermans67@ucoz.com,Surgery,000100000100000100000100,Fort Worth,2
Libbie Leedes,lleedes68@wiley.com,Surgery,000000111110000000111110,Arlington,2
Caldwell Stodit,cstodit69@360.cn,Surgery,010001000000010001000000,Keller/Southlake/Alliance,1
Eben Steinson,esteinson6a@desdev.cn,Surgery,000000000001000000000001,Dallas,1
Audie Camolli,acamolli6b@addtoany.com,Surgery,000001000010000001000010,Denton,2
Rodolph Hurcombe,rhurcombe6c@google.co.uk,Surgery,000100000011000100000011,Arlington,2
Tobie Turgoose,tturgoose6d@list-manage.com,Surgery,100110001000100110001000,Mansfield,2
Russell McVitty,rmcvitty6e@surveymonkey.com,Surgery,000010000110000010000110,Arlington,2
Doralynne Tiery,dtiery6f@hhs.gov,Surgery,010000010100010000010100,Denton,1
Aluin Avrashin,aavrashin6g@infoseek.co.jp,Surgery,000100101001000100101001,Denton,2
Ange Strongitharm,astrongitharm6h@sphinn.com,Surgery,110100000011110100000011,Dallas,2
Alexandrina Geldert,ageldert6i@wunderground.com,Surgery,000110000000000110000000,Dallas,2
Filberto Bertenshaw,fbertenshaw6j@unicef.org,Surgery,010001011011010001011011,Fort Worth,1
Nessi Cosh,ncosh6k@godaddy.com,Surgery,111000110000111000110000,Mansfield,2
Giusto Vockins,gvockins6l@seesaa.net,Surgery,100100000110100100000110,Arlington,1
Annabell Rout,arout6m@devhub.com,Surgery,000110000010000110000010,Fort Worth,2
Christina Broggetti,cbroggetti6n@bloglovin.com,Surgery,000001001100000001001100,Keller/Southlake/Alliance,2
Rose Rigbye,rrigbye6o@bizjournals.com,OBGYN,000010000100000010000100,Mansfield,2
Sarina Dackombe,sdackombe6p@trellian.com,OBGYN,101000000010101000000010,Arlington,1
Brnaba Woodroofe,bwoodroofe6q@livejournal.com,OBGYN,000010000000000010000000,Denton,2
Meier Fearns,mfearns6r@bbb.org,OBGYN,010000101000010000101000,Mansfield,1
Marlene Carah,mcarah6s@smh.com.au,OBGYN,001011000000001011000000,Denton,2
Ezmeralda Pride,epride6t@hatena.ne.jp,OBGYN,010101000000010101000000,Mansfield,2
Danna Glennard,dglennard6u@patch.com,OBGYN,001100001110001100001110,Denton,1
Fleurette Ebdin,febdin6v@amazonaws.com,OBGYN,000000000100000000000100,Keller/Southlake/Alliance,2
Laina Speare,lspeare6w@prlog.org,OBGYN,011001100101011001100101,Arlington,2
Melicent Senechell,msenechell6x@patch.com,OBGYN,100011100001100011100001,Dallas,2
Danny Vaneev,dvaneev6y@sogou.com,OBGYN,001110110000001110110000,Mansfield,2
Alfie Karlqvist,akarlqvist6z@taobao.com,OBGYN,010001110000010001110000,Dallas,2
Cybill Pickburn,cpickburn70@blogtalkradio.com,OBGYN,000100010110000100010110,Dallas,1
Vidovik Precious,vprecious71@godaddy.com,OBGYN,111000000001111000000001,Fort Worth,1
Carmelle Rossbrook,crossbrook72@nifty.com,OBGYN,011000000000011000000000,Mansfield,2
Faith Leyman,fleyman73@wufoo.com,OBGYN,010101000000010101000000,Keller/Southlake/Alliance,2
Oralla Geary,ogeary74@house.gov,OBGYN,100000010000100000010000,Fort Worth,1
Marketa Pillington,mpillington75@unc.edu,OBGYN,001000000000001000000000,Keller/Southlake/Alliance,2
Beale Pere,bpere76@gravatar.com,OBGYN,010000010100010000010100,Mansfield,1
Nelson Biddlestone,nbiddlestone77@fda.gov,OBGYN,000000000100000000000100,Mansfield,2
Findlay Pirkis,fpirkis78@devhub.com,OBGYN,110100000000110100000000,Keller/Southlake/Alliance,2
La verne Shadrach,lverne79@businessweek.com,OBGYN,110010111100110010111100,Dallas,2
Rivkah Roloff,rroloff7a@rambler.ru,OBGYN,000001000010000001000010,Keller/Southlake/Alliance,2
Levy Bote,lbote7b@msu.edu,OBGYN,011100000011011100000011,Keller/Southlake/Alliance,2
Chicky Harmes,charmes7c@parallels.com,OBGYN,000100010000000100010000,Denton,2
Janek Koschek,jkoschek7d@cbslocal.com,OBGYN,000101101000000101101000,Keller/Southlake/Alliance,1
Tootsie Egdell,tegdell7e@123-reg.co.uk,OBGYN,100101000000100101000000,Mansfield,2
Brig Buret,bburet7f@ning.com,OBGYN,011000101000011000101000,Dallas,2
Frasquito Applewhaite,fapplewhaite7g@accuweather.com,OBGYN,010000110110010000110110,Mansfield,2
Arluene Hatwell,ahatwell7h@printfriendly.com,OBGYN,100010101010100010101010,Denton,1
Bogart Giblin,bgiblin7i@globo.com,OBGYN,000010010110000010010110,Arlington,2
Lombard Lampert,llampert7j@bluehost.com,OBGYN,000100000000000100000000,Denton,1
Cary Eaglesham,ceaglesham7k@theatlantic.com,OBGYN,000001000110000001000110,Dallas,1
Mannie Downes,mdownes7l@nature.com,OBGYN,000010001000000010001000,Mansfield,2
Artur Coyte,acoyte7m@reuters.com,OBGYN,011010001000011010001000,Dallas,2
Lazar Thame,lthame7n@rambler.ru,OBGYN,010000010010010000010010,Fort Worth,1
Gregory Reyna,greyna7o@last.fm,OBGYN,010010100000010010100000,Arlington,1
Yorgos Brickham,ybrickham7p@hostgator.com,OBGYN,000010000001000010000001,Keller/Southlake/Alliance,2
Fin Cowle,fcowle7q@com.com,OBGYN,100000010000100000010000,Dallas,2
Mordy Feavers,mfeavers7r@phoca.cz,OBGYN,001001000000001001000000,Fort Worth,1
Norby Brosio,nbrosio7s@1und1.de,OBGYN,000110000110000110000110,Denton,1
Shirlene Hume,shume7t@sciencedirect.com,OBGYN,010101000000010101000000,Denton,2
Ivie Mindenhall,imindenhall7u@sfgate.com,OBGYN,100010000000100010000000,Arlington,1
Fair Birkhead,fbirkhead7v@ustream.tv,OBGYN,110111000000110111000000,Dallas,2
Mommy Shacklady,mshacklady7w@free.fr,OBGYN,001010000100001010000100,Dallas,1
Katrine Wellen,kwellen7x@bbb.org,OBGYN,110100000000110100000000,Arlington,2
Nico Pautard,npautard7y@google.co.jp,OBGYN,000000010010000000010010,Mansfield,1
Marsha Do Rosario,mdo7z@wikimedia.org,OBGYN,010000001000010000001000,Dallas,2
Ellwood Wilstead,ewilstead80@jigsy.com,OBGYN,100101010000100101010000,Denton,1
Doll Harriot,dharriot81@goo.ne.jp,OBGYN,001001011000001001011000,Keller/Southlake/Alliance,1
Drud Scammonden,dscammonden82@mit.edu,OBGYN,100110010110100110010110,Dallas,2
Halie McKeady,hmckeady83@nhs.uk,OBGYN,000010000001000010000001,Mansfield,1
Kennedy Shobbrook,kshobbrook84@marketwatch.com,OBGYN,011000110100011000110100,Fort Worth,2
Hyacinthe Fliege,hfliege85@nytimes.com,OBGYN,000000101000000000101000,Mansfield,2
Lisa Roskelley,lroskelley86@elpais.com,OBGYN,010001011100010001011100,Denton,2
Vlad Ianiello,vianiello87@sbwire.com,OBGYN,010001010010010001010010,Denton,1
Olivette Balch,obalch88@ehow.com,OBGYN,101100100000101100100000,Mansfield,1
Kinny Fauning,kfauning89@arstechnica.com,OBGYN,100000010010100000010010,Keller/Southlake/Alliance,1
Paulo Rutland,prutland8a@illinois.edu,OBGYN,110001101000110001101000,Arlington,2
